FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
9,http://10.10.10.220:5080/9,http://10.10.10.220:5080/users/sign_in,113,302,104,5,1,
27,http://10.10.10.220:5080/27,http://10.10.10.220:5080/users/sign_in,110,302,104,5,1,
26,http://10.10.10.220:5080/26,http://10.10.10.220:5080/users/sign_in,111,302,104,5,1,
29,http://10.10.10.220:5080/29,http://10.10.10.220:5080/users/sign_in,118,302,104,5,1,
banners,http://10.10.10.220:5080/banners,http://10.10.10.220:5080/users/sign_in,116,302,104,5,1,
xml,http://10.10.10.220:5080/xml,http://10.10.10.220:5080/users/sign_in,117,302,104,5,1,
7,http://10.10.10.220:5080/7,http://10.10.10.220:5080/users/sign_in,120,302,104,5,1,
28,http://10.10.10.220:5080/28,http://10.10.10.220:5080/users/sign_in,119,302,104,5,1,
tools,http://10.10.10.220:5080/tools,http://10.10.10.220:5080/users/sign_in,121,302,104,5,1,
0,http://10.10.10.220:5080/0,http://10.10.10.220:5080/users/sign_in,124,302,104,5,1,
projects,http://10.10.10.220:5080/projects,http://10.10.10.220:5080/explore,122,302,98,5,1,
25,http://10.10.10.220:5080/25,http://10.10.10.220:5080/users/sign_in,123,302,104,5,1,
user,http://10.10.10.220:5080/user,http://10.10.10.220:5080/users/sign_in,125,302,104,5,1,
forums,http://10.10.10.220:5080/forums,http://10.10.10.220:5080/users/sign_in,129,302,104,5,1,
themes,http://10.10.10.220:5080/themes,http://10.10.10.220:5080/users/sign_in,127,302,104,5,1,
feed,http://10.10.10.220:5080/feed,http://10.10.10.220:5080/users/sign_in,126,302,104,5,1,
linux,http://10.10.10.220:5080/linux,http://10.10.10.220:5080/users/sign_in,128,302,104,5,1,
business,http://10.10.10.220:5080/business,http://10.10.10.220:5080/users/sign_in,131,302,104,5,1,
books,http://10.10.10.220:5080/books,http://10.10.10.220:5080/users/sign_in,135,302,104,5,1,
jobs,http://10.10.10.220:5080/jobs,http://10.10.10.220:5080/users/sign_in,130,302,104,5,1,
8,http://10.10.10.220:5080/8,http://10.10.10.220:5080/users/sign_in,132,302,104,5,1,
video,http://10.10.10.220:5080/video,http://10.10.10.220:5080/users/sign_in,133,302,104,5,1,
reviews,http://10.10.10.220:5080/reviews,http://10.10.10.220:5080/users/sign_in,137,302,104,5,1,
email,http://10.10.10.220:5080/email,http://10.10.10.220:5080/users/sign_in,134,302,104,5,1,
view,http://10.10.10.220:5080/view,http://10.10.10.220:5080/users/sign_in,138,302,104,5,1,
pdf,http://10.10.10.220:5080/pdf,http://10.10.10.220:5080/users/sign_in,143,302,104,5,1,
feedback,http://10.10.10.220:5080/feedback,http://10.10.10.220:5080/users/sign_in,141,302,104,5,1,
print,http://10.10.10.220:5080/print,http://10.10.10.220:5080/users/sign_in,142,302,104,5,1,
research,http://10.10.10.220:5080/research,http://10.10.10.220:5080/users/sign_in,140,302,104,5,1,
banner,http://10.10.10.220:5080/banner,http://10.10.10.220:5080/users/sign_in,136,302,104,5,1,
modules,http://10.10.10.220:5080/modules,http://10.10.10.220:5080/users/sign_in,145,302,104,5,1,
2003,http://10.10.10.220:5080/2003,http://10.10.10.220:5080/users/sign_in,146,302,104,5,1,
graphics,http://10.10.10.220:5080/graphics,http://10.10.10.220:5080/users/sign_in,139,302,104,5,1,
ads,http://10.10.10.220:5080/ads,http://10.10.10.220:5080/users/sign_in,144,302,104,5,1,
company,http://10.10.10.220:5080/company,http://10.10.10.220:5080/users/sign_in,147,302,104,5,1,
blank,http://10.10.10.220:5080/blank,http://10.10.10.220:5080/users/sign_in,148,302,104,5,1,
games,http://10.10.10.220:5080/games,http://10.10.10.220:5080/users/sign_in,150,302,104,5,1,
